Book,Author,Genres,Avg_Rating
Nickel and Dimed: On (Not) Getting by in America,Barbara Ehrenreich,"Nonfiction, Sociology, Politics, Economics, Memoir, Social Justice, Poverty","3,65"
The Jungle,Upton Sinclair,"Classics, Fiction, Historical Fiction, Literature, Politics, School, Novels","3,76"
The Phantom of the Opera,Gaston Leroux,"Classics, Fiction, Horror, Romance, Gothic, Mystery, Historical Fiction","3,96"
Paradise Lost,John Milton,"Classics, Poetry, Fiction, Literature, Religion, Fantasy, Philosophy","3,83"
Horton Hears a Who!,Dr. Seuss,"Childrens, Picture Books, Fiction, Classics, Poetry, Fantasy, Animals","4,2"
The God of Small Things,Arundhati Roy,"Fiction, India, Historical Fiction, Classics, Contemporary, Literary Fiction, Indian Literature","3,95"
All Creatures Great and Small / All Things Bright and Beautiful,James Herriot,"Nonfiction, Classics, Animals, Memoir, Biography, Humor, Nature","4,32"
"Are You There God? Its Me, Margaret",Judy Blume,"Young Adult, Fiction, Childrens, Classics, Middle Grade, Coming Of Age, Realistic Fiction","3,92"
The Green Mile,Stephen King,"Horror, Fiction, Fantasy, Thriller, Mystery, Classics, Crime","4,47"
The Iliad / The Odyssey,Homer,"Classics, Fiction, Poetry, Mythology, Fantasy, Literature, Historical Fiction","4,06"
The House of the Spirits,Isabel Allende,"Fiction, Magical Realism, Historical Fiction, Classics, Fantasy, Spanish Literature, Historical","4,27"
Treasure Island,Robert Louis Stevenson,"Fiction, Adventure, Classics, Historical Fiction, Young Adult, Childrens, Pirates","3,84"
